scenario,confluence,name,netcdf_name,id,parametertype,dimensions,valueencoding,codeset,unitofmeasure,fillvalue,displayname,precision,visible,parameterfunctionid,parameterfunctionmap,qcfunctions,standardname,dataproductidentifier,description,longname,dataproducttype,datalevel
TO-DO,,vel3d_a_northward_velocity,vel3d_a_northward_velocity,PD3484,function,,float32,,m s-1,-9999999,Northward Mean Point Seawater Velocity,4,,PFID174,"{""vp1"":""PD2248"", ""vp3"":""PD2250"", ""hx"":""PD2252"", ""hy"":""PD2253"", ""hdg_cal"":""CC_hdg_cal"", ""hx_cal"":""CC_hx_cal"", ""hy_cal"":""CC_hy_cal"", ""lat"":""CC_lat"", ""lon"":""CC_lon"", ""timestamp"":""PD7""}",VELPTMN-VLN,,VELPTMN-VLN_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the northward component of mean point seawater velocity in earth coordinates relative to true north (accounted for magnetic variation).",Northward Mean Point Seawater Velocity,Science Data,L1
TO-DO,,vel3d_a_upward_velocity_ascending,vel3d_a_upward_velocity_ascending,PD3485,function,,float32,,m s-1,-9999999,Upward Mean Point Seawater Velocity - Ascending,4,,PFID177,"{""vp1"":""PD2248"", ""vp3"":""PD2250"", ""vp4"":""PD2251""}",VELPTMN-VLU,,VELPTMN-VLU-ASC_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the upward component of mean point seawater velocity when the profiler is ascending.",Upward Mean Point Seawater Velocity - Ascending,Science Data,L1
TO-DO,,vel3d_a_upward_velocity_descending,vel3d_a_upward_velocity_descending,PD3486,function,,float32,,m s-1,-9999999,Upward Mean Point Seawater Velocity - Descending,4,,PFID178,"{""vp1"":""PD2248"", ""vp2"":""PD2249"", ""vp3"":""PD2250""}",VELPTMN-VLU,,VELPTMN-VLU-DSC_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the upward component of mean point seawater velocity when the profiler is descending.",Upward Mean Point Seawater Velocity - Descending,Science Data,L1
TO-DO,,vel3d_l_eastward_velocity,vel3d_l_eastward_velocity,PD3487,function,,float32,,m s-1,-9999999,Eastward Mean Point Seawater Velocity,4,,PFID175,"{""vp1"":""PD2236"", ""vp3"":""PD2238"", ""hdg"":""PD2230"", ""lat"":""CC_lat"", ""lon"":""CC_lon"", ""timestamp"":""PD7""}",VELPTMN-VLE,,VELPTMN-VLE_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the eastward component of mean point seawater velocity in earth coordinates relative to true north (accounted for magnetic variation).",Eastward Mean Point Seawater Velocity,Science Data,L1
TO-DO,,vel3d_l_northward_velocity,vel3d_l_northward_velocity,PD3488,function,,float32,,m s-1,-9999999,Northward Mean Point Seawater Velocity,4,,PFID176,"{""vp1"":""PD2236"", ""vp3"":""PD2238"", ""hdg"":""PD2230"", ""lat"":""CC_lat"", ""lon"":""CC_lon"", ""timestamp"":""PD7""}",VELPTMN-VLN,,VELPTMN-VLN_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the northward component of mean point seawater velocity in earth coordinates relative to true north (accounted for magnetic variation).",Northward Mean Point Seawater Velocity,Science Data,L1
TO-DO,,vel3d_l_upward_velocity_ascending,vel3d_l_upward_velocity_ascending,PD3489,function,,float32,,m s-1,-9999999,Upward Mean Point Seawater Velocity - Ascending,4,,PFID177,"{""vp1"":""PD2236"", ""vp3"":""PD2238"", ""vp4"":""PD2239""}",VELPTMN-VLU,,VELPTMN-VLU-ASC_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the upward component of mean point seawater velocity when the profiler is ascending.",Upward Mean Point Seawater Velocity - Ascending,Science Data,L1
TO-DO,,vel3d_l_upward_velocity_descending,vel3d_l_upward_velocity_descending,PD3490,function,,float32,,m s-1,-9999999,Upward Mean Point Seawater Velocity - Descending,4,,PFID178,"{""vp1"":""PD2236"", ""vp2"":""PD2237"", ""vp3"":""PD2238""}",VELPTMN-VLU,,VELPTMN-VLU-DSC_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the upward component of mean point seawater velocity when the profiler is descending.",Upward Mean Point Seawater Velocity - Descending,Science Data,L1
TO-DO,,range_setting,range_setting,PD3491,quantity,,int16,,m,-9999,Range Setting,0,,,,,,,Default range setting,,,
TO-DO,,auv_state_voltage,auv_state_voltage,PD3492,quantity,,float32,,V,-9999999,Voltage,4,,,,,,,"Voltage, volts",,,
TO-DO,,look_down_angle,look_down_angle,PD3493,quantity,,float32,,degree,-9999999,Look Down Angle,4,,,,,,,Sonar look down angle,,,
TO-DO,,sonar_range,sonar_range,PD3494,quantity,,float32,,m,-9999999,Sonar Range,4,,,,,,,Current sonar range,,,
TO-DO,,roll_deg,roll_deg,PD3495,quantity,,float32,,degree,-9999999,Roll,4,,,,,,,Roll in degree,,,
TO-DO,,sonar_range_minimum,sonar_range_minimum,PD3496,quantity,,float32,,m,-9999999,Sonar Range Minimum,4,,,,,,,Minimum sonar range,,,
TO-DO,,estimated_range,estimated_range,PD3497,quantity,,float32,,m s-1,-9999999,Estimated Range,4,,,,,,,Estimated range,,,
TO-DO,,estimated_rate,estimated_rate,PD3498,quantity,,float32,,m s-1,-9999999,Estimated Rate,4,,,,,,,Estimated range rate,,,
TO-DO,,obstacle_range_rate_minimum,obstacle_range_rate_minimum,PD3499,quantity,,float32,,m,-9999999,Obstacle Range Rate Minimum,4,,,,,,,Minimum range rate to initiate obstacle avoidance,,,
TO-DO,,obstacle_range_maximum,obstacle_range_maximum,PD3500,quantity,,float32,,m,-9999999,Obstacle Range Maximum,4,,,,,,,Maximum range to initiate obstacle avoidance,,,
TO-DO,,obstacle_range_critical,obstacle_range_critical,PD3501,quantity,,float32,,m s-1,-9999999,Obstacle Range Critical,4,,,,,,,Critical range to obstacle,,,
TO-DO,,obstacle_range_rate_critical,obstacle_range_rate_critical,PD3502,quantity,,float32,,m s-1,-9999999,Obstacle Range Rate Critical,4,,,,,,,Critical range rate to obstacle,,,
TO-DO,,pings,pings,PD3503,quantity,,uint32,,counts,0,Pings,0,,,,,,,Number of pings,,,
TO-DO,,status,status,PD3504,quantity,,uint8,,mask,0,"Status, Mask",0,,,,,,,Sonar status,,,
TO-DO,,median_filter_range,median_filter_range,PD3505,quantity,,float32,,m,-9999999,Median Filter Range,4,,,,,,,The set median filter range,,,
TO-DO,,compass_true_heading,compass_true_heading,PD3506,quantity,,float32,,degree,-9999999,Compass True Heading,4,,,,,,,Vehicle true heading from compass,,,
TO-DO,,auv_speed_of_sound,auv_speed_of_sound,PD3507,quantity,,float32,,m s-1,-9999999,Auv Speed of Sound,4,,,,,,,Speed of sound,,,
TO-DO,,reserved,reserved,PD3508,quantity,,float32,,1,-9999999,Reserved,4,,,,,,,Not used,,,
TO-DO,,range_minimum,range_minimum,PD3509,quantity,,float32,,m,-9999999,Range Minimum,4,,,,,,,Minimum range,,,
TO-DO,,range_maximum,range_maximum,PD3510,quantity,,float32,,m,-9999999,Range Maximum,4,,,,,,,Maximum range,,,
TO-DO,,latency,latency,PD3511,quantity,,float32,,ms,-9999999,Latency,4,,,,,,,Sensor latency,,,
TO-DO,,x_angle,x_angle,PD3512,quantity,,float32,,degree,-9999999,X Angle,4,,,,,,,X Angle,,,
TO-DO,,y_angle,y_angle,PD3513,quantity,,float32,,degree,-9999999,Y Angle,4,,,,,,,Y Angle,,,
TO-DO,,range,range,PD3514,quantity,,float32,,m,-9999999,Range,4,,,,,,,Range,,,
TO-DO,,gain_1,gain_1,PD3515,quantity,,int16,,dB,-9999,Gain 1,0,,,,,,,Gain 1,,,
TO-DO,,gain_2,gain_2,PD3516,quantity,,int16,,dB,-9999,Gain 2,0,,,,,,,Gain 2,,,
TO-DO,,array_sound_speed,array_sound_speed,PD3517,quantity,,int16,,m s-1,-9999,Array Sound Speed,0,,,,,,,Sound speed at the array,,,
TO-DO,,reason,reason,PD3518,quantity,,int16,,mask,-9999,"Reason, Mask",0,,,,,,,Reason Mask,,,
TO-DO,,x_center,x_center,PD3519,quantity,,int8,,degree,-99,X Center,0,,,,,,,X Center,,,
TO-DO,,y_center,y_center,PD3520,quantity,,int8,,degree,-99,Y Center,0,,,,,,,Y Center,,,
TO-DO,,inband_snr,inband_snr,PD3521,quantity,,uint8,,dB,0,Inband SNR,0,,,,,,,Inband Signal to Noise Ratio,,,
TO-DO,,outband_snr,outband_snr,PD3522,quantity,,uint8,,dB,0,Outband SNR,0,,,,,,,Outband Signal to Noise Ratio,,,
TO-DO,,transponder_table_index,transponder_table_index,PD3523,quantity,,uint8,,counts,0,Transponder Table Index,0,,,,,,,Index into the transponder table index,,,
TO-DO,,fin_count,fin_count,PD3524,quantity,,int8,,counts,-99,Fin Count,0,,,,,,,Fin Count,,,
TO-DO,,fin_pitch_position,fin_pitch_position,PD3525,quantity,,int8,,percent,-99,"Pitch Position, Percentage",0,,,,,,,Pitch Position,,,
TO-DO,,fin_rudder_position,fin_rudder_position,PD3526,quantity,,int8,,percent,-99,"Rudder Position, Percentage",0,,,,,,,Rudder Position,,,
TO-DO,,fin_roll_position,fin_roll_position,PD3527,quantity,,int8,,percent,-99,"Roll Position, Percentage",0,,,,,,,Roll Position,,,
TO-DO,,fin_pitch_command,fin_pitch_command,PD3528,quantity,,float32,,degree,-9999999,Pitch Command,4,,,,,,,Pitch Command,,,
TO-DO,,fin_rudder_command,fin_rudder_command,PD3529,quantity,,float32,,degree,-9999999,Rudder Command,4,,,,,,,Rudder Command,,,
TO-DO,,fin_roll_command,fin_roll_command,PD3530,quantity,,float32,,degree,-9999999,Roll Command,4,,,,,,,Roll Command,,,
TO-DO,,fin_command_data_1,fin_command_data_1,PD3531,quantity,,float32,,degree,-9999999,Command Data 1,4,,,,,,,Command Data 1,,,
TO-DO,,fin_position_data_1,fin_position_data_1,PD3532,quantity,,float32,,percent,-9999999,"Position Data 1, Percentage",4,,,,,,,Position Data 1,,,
TO-DO,,fin_command_data_2,fin_command_data_2,PD3533,quantity,,float32,,degree,-9999999,Command Data 2,4,,,,,,,Command Data 2,,,
TO-DO,,fin_position_data_2,fin_position_data_2,PD3534,quantity,,float32,,percent,-9999999,"Position Data 2, Percentage",4,,,,,,,Position Data 2,,,
TO-DO,,fin_command_data_3,fin_command_data_3,PD3535,quantity,,float32,,degree,-9999999,Command Data 3,4,,,,,,,Command Data 3,,,
TO-DO,,fin_position_data_3,fin_position_data_3,PD3536,quantity,,float32,,percent,-9999999,"Position Data 3, Percentage",4,,,,,,,Position Data 3,,,
TO-DO,,fin_command_data_4,fin_command_data_4,PD3537,quantity,,float32,,degree,-9999999,Command Data 4,4,,,,,,,Command Data 4,,,
TO-DO,,fin_position_data_4,fin_position_data_4,PD3538,quantity,,float32,,percent,-9999999,"Position Data 4, Percentage",4,,,,,,,Position Data 4,,,
TO-DO,,fin_command_data_5,fin_command_data_5,PD3539,quantity,,float32,,degree,-9999999,Command Data 5,4,,,,,,,Command Data 5,,,
TO-DO,,fin_position_data_5,fin_position_data_5,PD3540,quantity,,float32,,percent,-9999999,"Position Data 5, Percentage",4,,,,,,,Position Data 5,,,
TO-DO,,fin_command_data_6,fin_command_data_6,PD3541,quantity,,float32,,degree,-9999999,Command Data 6,4,,,,,,,Command Data 6,,,
TO-DO,,fin_position_data_6,fin_position_data_6,PD3542,quantity,,float32,,percent,-9999999,"Position Data 6, Percentage",4,,,,,,,Position Data 6,,,
TO-DO,,fin_yaw_translation_command,fin_yaw_translation_command,PD3543,quantity,,float32,,degree,-9999999,Yaw Translation Command,4,,,,,,,Yaw Translation Command,,,
TO-DO,,fin_depth_translation_command,fin_depth_translation_command,PD3544,quantity,,float32,,degree,-9999999,Depth Translation Command,4,,,,,,,Depth Translation Command,,,
TO-DO,,fin_yaw_translation_position,fin_yaw_translation_position,PD3545,quantity,,int8,,percent,-99,"Yaw Translation Position, Percentage",0,,,,,,,Yaw Translation Position,,,
TO-DO,,fin_depth_translation_position,fin_depth_translation_position,PD3546,quantity,,int8,,percent,-99,"Depth Translation Position, Percentage",0,,,,,,,Depth Translation Position,,,
TO-DO,,board_voltage,board_voltage,PD3547,quantity,,float32,,V,-9999999,Board Voltage,4,,,,,,,"Board Voltage, V",,,
TO-DO,,status,status,PD3548,quantity,,uint16,,mask,0,"Status, Mask",0,,,,,,,Board Status Mask,,,
TO-DO,,descent_status,descent_status,PD3549,quantity,,int8,,counts,-99,Descent Status,0,,,,,,,Descent Status,,,
TO-DO,,ascent_status,ascent_status,PD3550,quantity,,int8,,counts,-99,Ascent Status,0,,,,,,,Ascent Status,,,
TO-DO,,pickup_status,pickup_status,PD3551,quantity,,int8,,counts,-99,Pickup Status,0,,,,,,,PICkup Status,,,
TO-DO,,descent_continuity,descent_continuity,PD3552,quantity,,uint8,,counts,0,Descent Continuity,0,,,,,,,Descent Continuity,,,
TO-DO,,ascent_continuity,ascent_continuity,PD3553,quantity,,uint8,,counts,0,Ascent Continuity,0,,,,,,,Ascent Continuity,,,
TO-DO,,pickup_continuity,pickup_continuity,PD3554,quantity,,uint8,,counts,0,Pickup Continuity,0,,,,,,,PICkup Continuity,,,
TO-DO,,secondary_status,secondary_status,PD3555,quantity,,uint32,,mask,0,"Secondary Status, Mask",0,,,,,,,Secondary Status Mask,,,
TO-DO,,raw_value,raw_value,PD3556,quantity,,int16,,counts,-9999,Raw Value,0,,,,,,,Raw Value,,,
TO-DO,,oil_level,oil_level,PD3557,quantity,,float32,,percent,-9999999,"Oil Level, Percentage",4,,,,,,,Oil Level,,,
TO-DO,,oil_location,oil_location,PD3558,quantity,,uint8,,1,99,"Oil Location, 1",0,,,,,,,Oil Location,,,
TO-DO,,flags,flags,PD3559,quantity,,int8,,mask,-99,"Flags, Mask",0,,,,,,,Flags Mask,,,
TO-DO,,battery_index,battery_index,PD3560,quantity,,int8,,counts,-99,Battery Index,0,,,,,,,Battery Index,,,
TO-DO,,battery_count,battery_count,PD3561,quantity,,int8,,counts,-99,Battery Count,0,,,,,,,Battery Count,,,
TO-DO,,address_mask,address_mask,PD3562,quantity,,int8,,mask,-99,Address Mask,0,,,,,,,Address Mask,,,
TO-DO,,smart_battery_voltage,smart_battery_voltage,PD3563,quantity,,uint16,,mV,0,Voltage,0,,,,,,,"Voltage, mV",,,
TO-DO,,end_of_discharge,end_of_discharge,PD3564,quantity,,int16,,mV,-9999,End of Discharge,0,,,,,,,End Of Discharge,,,
TO-DO,,average_current,average_current,PD3565,quantity,,int16,,mA,-9999,Average Current,0,,,,,,,Average Current,,,
TO-DO,,temperature_one_tenth,temperature_one_tenth,PD3566,quantity,,uint16,,deg_K,0,Temperature One Tenth,0,,,,,,,Temperature One Tenth,,,
TO-DO,,full_charge_capacity,full_charge_capacity,PD3567,quantity,,uint16,,mA h-1,0,Full Charge Capacity/H,0,,,,,,,Full Charge Capacity,,,
TO-DO,,remaining_capacity,remaining_capacity,PD3568,quantity,,uint16,,mA h-1,0,Remaining Capacity/H,0,,,,,,,Remaining Capacity,,,
TO-DO,,desired_charge_rate,desired_charge_rate,PD3569,quantity,,uint16,,mA,0,Desired Charge Rate,0,,,,,,,Desired Charge Rate,,,
TO-DO,,serial,serial,PD3570,quantity,,uint16,,counts,0,Serial,0,,,,,,,Serial,,,
TO-DO,,battery_status,battery_status,PD3571,quantity,,uint16,,mask,0,"Battery Status, Mask",0,,,,,,,Battery Status Mask,,,
TO-DO,,battery_flags,battery_flags,PD3572,quantity,,uint16,,mask,0,"Battery Flags, Mask",0,,,,,,,Battery Flags Mask,,,
TO-DO,,cycle_count,cycle_count,PD3573,quantity,,uint16,,counts,0,Cycle Count,0,,,,,,,Cycle Count,,,
TO-DO,,available_power,available_power,PD3574,quantity,,float32,,watt,-9999999,Available Power,4,,,,,,,Available Power,,,
TO-DO,,auv_temperature,auv_temperature,PD3575,quantity,,float32,,degrees_Celsius,-9999999,Auv Temperature,4,,,,,,,Temperature,,,
TO-DO,,pressure_mbar,pressure_mbar,PD3576,quantity,,float32,,mBar,-9999999,Pressure Mbar,0,,,,,,,Pressure,,,
TO-DO,,pic_charge_value,pic_charge_value,PD3577,quantity,,uint8,,counts,0,Pic Charge Value,0,,,,,,,PIC Charge Value,,,
TO-DO,,pic_balance_enabled,pic_balance_enabled,PD3578,quantity,,uint8,,mask,0,"Pic Balance Enabled, Mask",0,,,,,,,PIC Balance Enabled Mask,,,
TO-DO,,pic_fet_state,pic_fet_state,PD3579,quantity,,uint8,,mask,0,"Pic Fet State, Mask",0,,,,,,,PIC FET State Mask,,,
TO-DO,,pic_faults,pic_faults,PD3580,quantity,,uint8,,mask,0,"Pic Faults, Mask",0,,,,,,,PIC Faults Mask,,,
TO-DO,,pic_cell_voltage_1,pic_cell_voltage_1,PD3581,quantity,,uint16,,V,0,Pic Cell Voltage 1,0,,,,,,,PIC Cell Voltage 1,,,
TO-DO,,pic_cell_voltage_2,pic_cell_voltage_2,PD3582,quantity,,uint16,,V,0,Pic Cell Voltage 2,0,,,,,,,PIC Cell Voltage 2,,,
TO-DO,,pic_cell_voltage_3,pic_cell_voltage_3,PD3583,quantity,,uint16,,V,0,Pic Cell Voltage 3,0,,,,,,,PIC Cell Voltage 3,,,
TO-DO,,pic_cell_voltage_4,pic_cell_voltage_4,PD3584,quantity,,uint16,,V,0,Pic Cell Voltage 4,0,,,,,,,PIC Cell Voltage 4,,,
TO-DO,,pic_cell_voltage_5,pic_cell_voltage_5,PD3585,quantity,,uint16,,V,0,Pic Cell Voltage 5,0,,,,,,,PIC Cell Voltage 5,,,
TO-DO,,pic_cell_voltage_6,pic_cell_voltage_6,PD3586,quantity,,uint16,,V,0,Pic Cell Voltage 6,0,,,,,,,PIC Cell Voltage 6,,,
TO-DO,,pic_cell_voltage_7,pic_cell_voltage_7,PD3587,quantity,,uint16,,V,0,Pic Cell Voltage 7,0,,,,,,,PIC Cell Voltage 7,,,
TO-DO,,battery_temperature,battery_temperature,PD3588,quantity,,float32,,deg_K,-9999999,Battery Temperature,4,,,,,,,Battery Temperature,,,
TO-DO,,transponder_table_index_1,transponder_table_index_1,PD3589,quantity,,int8,,counts,-99,Transponder Table Index 1,0,,,,,,,Transponder Table Index 1,,,
TO-DO,,transponder_table_index_2,transponder_table_index_2,PD3590,quantity,,int8,,counts,-99,Transponder Table Index 2,0,,,,,,,Transponder Table Index 2,,,
TO-DO,,inband_channel_1_snr,inband_channel_1_snr,PD3591,quantity,,uint8,,dB,0,Inband Channel 1 SNR,0,,,,,,,Inband Channel 1 Snr,,,
TO-DO,,inband_channel_2_snr,inband_channel_2_snr,PD3592,quantity,,uint8,,dB,0,Inband Channel 2 SNR,0,,,,,,,Inband Channel 2 Snr,,,
TO-DO,,interrogate_channel_1_snr,interrogate_channel_1_snr,PD3593,quantity,,int8,,dB,-99,Interrogate Channel 1 SNR,0,,,,,,,Interrogate Channel 1 Snr,,,
TO-DO,,interrogate_channel_2_snr,interrogate_channel_2_snr,PD3594,quantity,,int8,,dB,-99,Interrogate Channel 2 SNR,0,,,,,,,Interrogate Channel 2 Snr,,,
TO-DO,,receive_channel_1,receive_channel_1,PD3595,quantity,,int8,,counts,-99,Receive Channel 1,0,,,,,,,Receive Channel 1,,,
TO-DO,,receive_channel_2,receive_channel_2,PD3596,quantity,,int8,,counts,-99,Receive Channel 2,0,,,,,,,Receive Channel 2,,,
TO-DO,,range_1,range_1,PD3597,quantity,,float32,,m,-9999999,Range 1,4,,,,,,,Range 1,,,
TO-DO,,range_2,range_2,PD3598,quantity,,float32,,m,-9999999,Range 2,4,,,,,,,Range 2,,,
TO-DO,,reply_age_1,reply_age_1,PD3599,quantity,,uint32,,ms,0,Reply Age 1,0,,,,,,,Reply Age 1,,,
TO-DO,,reply_age_2,reply_age_2,PD3600,quantity,,uint32,,ms,0,Reply Age 2,0,,,,,,,Reply Age 2,,,
TO-DO,,fail_flag,fail_flag,PD3601,quantity,,uint16,,mask,0,"Fail Flag, Mask",0,,,,,,,Fail Flag Mask,,,
TO-DO,,received_bits,received_bits,PD3602,quantity,,int8,,mask,-99,"Received Bits, Mask",0,,,,,,,Received Bits Mask,,,
TO-DO,,outband_channel_1_snr,outband_channel_1_snr,PD3603,quantity,,uint8,,dB,0,Outband Channel 1 SNR,0,,,,,,,Outband Channel 1 Snr,,,
TO-DO,,outband_channel_2_snr,outband_channel_2_snr,PD3604,quantity,,uint8,,dB,0,Outband Channel 2 SNR,0,,,,,,,Outband Channel 2 Snr,,,
TO-DO,,filename,filename,PD3605,quantity,,string,,1,empty,Filename,,,,,,,,Filename,,,
TO-DO,,line,line,PD3606,quantity,,int16,,counts,-9999,Line,0,,,,,,,Line,,,
TO-DO,,message,message,PD3607,quantity,,string,,1,empty,Message,,,,,,,,Message,,,
TO-DO,,software_version,software_version,PD3608,quantity,,uint8,,counts,0,Software Version,0,,,,,,,Software Version,,,
TO-DO,,heading_rate,heading_rate,PD3609,quantity,,float32,,degree,-9999999,Heading Rate,4,,,,,,,Heading Rate,,,
TO-DO,,depth_goal,depth_goal,PD3610,quantity,,float32,,m,-9999999,Depth Goal,4,,,,,,,Depth Goal,,,
TO-DO,,obs,obs,PD3611,quantity,,float32,,1,-9999999,Obs,4,,,,,,,Obs,,,
TO-DO,,auv_current,auv_current,PD3612,quantity,,float32,,A,-9999999,Currentmperes,4,,,,,,,Current,,,
TO-DO,,gfi,gfi,PD3613,quantity,,float32,,percent,-9999999,"GFI, Percentage",4,,,,,,,No description available,,,
TO-DO,,pitch_deg,pitch_deg,PD3614,quantity,,float32,,degree,-9999999,Pitch,4,,,,,,,Pitch in degrees,,,
TO-DO,,pitch_goal,pitch_goal,PD3615,quantity,,float32,,degree,-9999999,Pitch Goal,4,,,,,,,Pitch Goal,,,
TO-DO,,thruster,thruster,PD3616,quantity,,int16,,rpm,-9999,Thruster,0,,,,,,,Thruster,,,
TO-DO,,thruster_goal,thruster_goal,PD3617,quantity,,int16,,rpm,-9999,Thruster Goal,0,,,,,,,Thruster Goal,,,
TO-DO,,heading_goal,heading_goal,PD3618,quantity,,float32,,degree,-9999999,Heading Goal,4,,,,,,,Heading Goal,,,
TO-DO,,days_since_1970,days_since_1970,PD3619,quantity,,uint16,,counts,0,Days Since 1970,0,,,,,,,Days Since 1970,,,
TO-DO,,dr_latitude,dr_latitude,PD3620,quantity,,float32,,degree,-9999999,Dr Latitude,4,,,,,,,DR Latitude,,,
TO-DO,,dr_longitude,dr_longitude,PD3621,quantity,,float32,,degree,-9999999,Dr Longitude,4,,,,,,,DR Longitude,,,
TO-DO,,goal_latitude,goal_latitude,PD3622,quantity,,float32,,degree,-9999999,Goal Latitude,4,,,,,,,Goal Latitude,,,
TO-DO,,goal_longitude,goal_longitude,PD3623,quantity,,float32,,degree,-9999999,Goal Longitude,4,,,,,,,Goal Longitude,,,
TO-DO,,estimated_velocity,estimated_velocity,PD3624,quantity,,float32,,m s-1,-9999999,Estimated Velocity,4,,,,,,,Estimated Velocity,,,
TO-DO,,heading_offset,heading_offset,PD3625,quantity,,float32,,degree,-9999999,Heading Offset,4,,,,,,,Heading Offset,,,
TO-DO,,flags,flags,PD3626,quantity,,uint16,,mask,0,"Flags, Mask",0,,,,,,,Flags Mask,,,
TO-DO,,thruster_command,thruster_command,PD3627,quantity,,int8,,counts,-99,Thruster Command,0,,,,,,,Thruster Command,,,
TO-DO,,pitch_command,pitch_command,PD3628,quantity,,int8,,counts,-99,Pitch Command,0,,,,,,,Pitch Command,,,
TO-DO,,rudder_command,rudder_command,PD3629,quantity,,int8,,counts,-99,Rudder Command,0,,,,,,,Rudder Command,,,
TO-DO,,pitch_fin_position,pitch_fin_position,PD3630,quantity,,int8,,counts,-99,Pitch Fin Position,0,,,,,,,Pitch Fin Position,,,
TO-DO,,rudder_fin_position,rudder_fin_position,PD3631,quantity,,int8,,counts,-99,Rudder Fin Position,0,,,,,,,Rudder Fin Position,,,
TO-DO,,total_objectives,total_objectives,PD3632,quantity,,uint8,,counts,0,Total Objectives,0,,,,,,,Total Objectives,,,
TO-DO,,current_objective,current_objective,PD3633,quantity,,uint8,,counts,0,Current Objective,0,,,,,,,Current Objective,,,
TO-DO,,cpu_usage,cpu_usage,PD3634,quantity,,uint8,,percent,0,"Cpu Usage, Percentage",0,,,,,,,CPU Usage,,,
TO-DO,,objective_index,objective_index,PD3635,quantity,,uint8,,counts,0,Objective Index,0,,,,,,,Objective Index,,,
TO-DO,,leg_number,leg_number,PD3636,quantity,,uint16,,counts,0,Leg Number,0,,,,,,,Leg Number,,,
TO-DO,,spare_slider,spare_slider,PD3637,quantity,,float32,,counts,-9999999,Spare Slider,4,,,,,,,Spare Slider,,,
TO-DO,,roll_rate,roll_rate,PD3638,quantity,,float32,,degree s-1,-9999999,Roll Rate,4,,,,,,,Roll Rate,,,
TO-DO,,pitch_rate,pitch_rate,PD3639,quantity,,float32,,degree s-1,-9999999,Pitch Rate,4,,,,,,,Pitch Rate,,,
TO-DO,,faults,faults,PD3640,quantity,,uint32,,mask,0,"Faults, Mask",0,,,,,,,Faults Mask,,,
TO-DO,,navigation_mode,navigation_mode,PD3641,quantity,,uint8,,1,0,Navigation Mode,0,,,,,,,Navigation Mode,,,
TO-DO,,secondary_faults,secondary_faults,PD3642,quantity,,uint16,,mask,0,"Secondary Faults, Mask",0,,,,,,,Secondary Faults Mask,,,
TO-DO,,sample_time,sample_time,PD3643,quantity,,float64,,1,-9999999,Time of Sample,6,,,,,,INSTIME,"time of sample, floating point <hours>.<decimated seconds>",,,
TO-DO,,nutnr_spectral_avg_last_dark,nutnr_spectral_avg_last_dark,PD3644,quantity,,uint16,,1,0,Dark Spectral Average,0,,,,,,DARKAVG,Spectral average of the last dark frame,,,
TO-DO,,lamp_state,lamp_state,PD3645,category<uint8:str>,,uint8,"{0:""Offl"",1:""On"",99:""Unknown""}",1,99,State of the Lamp,0,,,,,,,"State of the lamp, on or off",,,
TO-DO,,lamp_time_cumulative,lamp_time_cumulative,PD3646,quantity,,uint32,,s,0,Cumulative Lamp Timeon,0,,,,,,,"Cumulative Lamp Time, seconds",,,
